"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
63,157,"NPL","Nepal",5,"West",12,"Dhaualagiri",63,"Parbat","Jilla","District",NA,"Parwat"
64,157,"NPL","Nepal",5,"West",13,"Gandaki",64,"Gorkha","Jilla","District",NA,NA
65,157,"NPL","Nepal",5,"West",13,"Gandaki",65,"Kaski","Jilla","District",NA,NA
66,157,"NPL","Nepal",5,"West",13,"Gandaki",66,"Lamjung","Jilla","District",NA,NA
67,157,"NPL","Nepal",5,"West",13,"Gandaki",67,"Manang","Jilla","District",NA,NA
68,157,"NPL","Nepal",5,"West",13,"Gandaki",68,"Syangja","Jilla","District",NA,"Syanja"
69,157,"NPL","Nepal",5,"West",13,"Gandaki",69,"Tanahu","Jilla","District",NA,"Tanahun"
70,157,"NPL","Nepal",5,"West",14,"Lumbini",70,"Arghakhanchi","Jilla","District",NA,"Argakhachi"
71,157,"NPL","Nepal",5,"West",14,"Lumbini",71,"Gulmi","Jilla","District",NA,NA
72,157,"NPL","Nepal",5,"West",14,"Lumbini",72,"Kapilbastu",NA,NA,NA,NA
73,157,"NPL","Nepal",5,"West",14,"Lumbini",73,"Nawalparasi","Jilla","District",NA,NA
74,157,"NPL","Nepal",5,"West",14,"Lumbini",74,"Palpa","Jilla","District",NA,NA
75,157,"NPL","Nepal",5,"West",14,"Lumbini",75,"Rupandehi","Jilla","District",NA,NA
